Encoded_file,bpp,psnr,ssim,sqnr,mape_phase,enc_time,dec_time,enc1_m,enc1_s,enc2_m,enc2_s,enc3_m,enc3_s,enc4_m,enc4_s,enc5_m,enc5_s,dec1_m,dec1_s,dec2_m,dec2_s,dec3_m,dec3_s,dec4_m,dec4_s,dec5_m,dec5_s
0.npy,1.716064453125,28.431706179499017,0.9765530824661255,15.86165714263916,0.46069133281707764,0.12220954895019531,0.21823954582214355,0.0005333423614501953,3.0342171651900903e-05,0.0005627870559692383,5.66137454375407e-06,0.0010840654373168944,6.660328303997125e-05,0.0020532846450805665,4.1195867414686595e-05,0.0052119016647338865,9.588210286733832e-05,0.0009500980377197266,4.405263124840542e-06,0.001042628288269043,3.6529655656041126e-05,0.0020356178283691406,4.896168027072891e-05,0.0038512706756591796,3.3565610440475256e-05,0.010130524635314941,6.744669449335463e-05
1.npy,1.4246826171875,28.304441219352622,0.9387859106063843,12.123726844787598,0.6765732169151306,0.09424018859863281,0.16965913772583008,0.0005736112594604492,3.5153192399700305e-05,0.0004918098449707032,9.156830476441816e-05,0.0008896589279174805,4.1346243130312134e-05,0.0018278598785400391,5.4176675854232474e-05,0.004321241378784179,0.00010632635733995962,0.0009178400039672851,4.745727656202023e-06,0.0008907318115234375,0.0002238152681113843,0.0016077756881713867,3.397598598587626e-05,0.003335261344909668,3.3661368383173726e-05,0.008230972290039062,3.449823744703464e-05
10.npy,1.599853515625,28.325879505681286,0.9612229466438293,14.886634826660156,0.49956923723220825,0.1046149730682373,0.18987298011779785,0.0005197525024414062,5.215386663126998e-05,0.0005600452423095703,2.6410494583729456e-05,0.0010457515716552734,3.68846410392463e-05,0.0019944429397583006,0.00011940715819138305,0.004926657676696778,8.58183328689332e-05,0.0008676290512084961,7.0035432247400764e-06,0.0009879350662231445,3.03262528326032e-05,0.00191190242767334,2.7110079596464276e-05,0.0036031723022460936,3.525045904042256e-05,0.009432625770568848,4.326624594713896e-05
100.npy,0.980224609375,29.53594205856667,0.9154092073440552,8.830095291137695,0.9301850199699402,0.06479382514953613,0.11754631996154785,0.00032889842987060547,4.388291330673113e-05,0.00038285255432128905,0.00010495216182403205,0.0006586551666259765,1.9336672783066307e-05,0.0011129140853881835,7.877065896488253e-05,0.002904343605041504,4.0011588928037e-05,0.0005824089050292969,2.034502724804952e-05,0.0006113052368164062,2.0644626078826577e-05,0.0012148618698120117,3.1556615151595306e-05,0.0021200180053710938,2.33971122362809e-05,0.005712461471557617,1.6644212580452087e-05
101.npy,1.7310791015625,28.615634825834103,0.9561110734939575,14.645074844360352,0.6332124471664429,0.10089778900146484,0.20128941535949707,0.0005768537521362305,5.291219502759782e-05,0.0005505800247192383,8.324257933536423e-05,0.0010311365127563476,0.00013718437849145738,0.0019012451171875,6.122227016330135e-05,0.004660844802856445,8.802122047188728e-05,0.0010113954544067384,8.39318059855802e-06,0.0009988784790039063,3.244861971325593e-05,0.0019475936889648438,4.4582463803989465e-05,0.003898882865905762,2.698671892528563e-05,0.010005307197570801,5.782149971696529e-05
102.npy,1.15093994140625,29.101033375966093,0.9264498353004456,9.853357315063477,0.8379083871841431,0.07933712005615234,0.14038825035095215,0.00046825408935546875,5.103149050346547e-05,0.0004797935485839844,0.0001384255560025707,0.0007577657699584961,6.0026587469079795e-05,0.0015915632247924805,0.00011279105222909545,0.0034682512283325194,4.9850861968796956e-05,0.0007762670516967774,4.584151341159246e-06,0.0007172584533691406,3.343512653514189e-05,0.0013335704803466796,3.2873106652943586e-05,0.0027643680572509766,3.484048474774703e-05,0.006708765029907226,3.529274720367237e-05
103.npy,1.62591552734375,28.61991967327713,0.938796877861023,13.638118743896484,0.6299501657485962,0.10011148452758789,0.1915116310119629,0.0005835056304931641,5.8128405405863735e-05,0.0005759477615356445,0.0001125447850578509,0.0009758710861206054,9.240271530299065e-05,0.0019190788269042968,0.00010070665315237138,0.004586267471313477,7.133719751467155e-05,0.000945591926574707,2.1801276989443934e-05,0.0009764909744262695,3.917820872945591e-05,0.0018676280975341796,3.906184108372108e-05,0.0037061452865600588,3.389186142309213e-05,0.009476137161254884,5.4784501556532224e-05
104.npy,2.02008056640625,28.050014590487233,0.9791653752326965,17.728912353515625,0.3830283582210541,0.11841583251953125,0.2335348129272461,0.0006300926208496094,3.8351286670549304e-05,0.0006355047225952148,0.00010283909802597981,0.001135540008544922,7.22986405457562e-06,0.002227306365966797,4.698273882240384e-05,0.005663728713989258,4.7046238744147786e-05,0.0010994195938110352,7.123131622351636e-06,0.0011613845825195312,2.9926195199173717e-05,0.00228426456451416,3.417952152460961e-05,0.004449200630187988,5.875207068753393e-05,0.011744213104248048,9.592743012912212e-05
105.npy,1.386962890625,28.723782410719792,0.9557146430015564,12.204029083251953,0.7008978128433228,0.0906670093536377,0.16535735130310059,0.0004979848861694336,4.486516325295452e-05,0.0004915714263916016,3.459022233494057e-05,0.000888657569885254,2.183946719614415e-05,0.0017191410064697266,0.00010918686968410633,0.004192233085632324,9.34164793370715e-05,0.0008366584777832031,4.606849125581527e-06,0.0008440971374511719,2.7373360270090216e-05,0.0016394615173339843,3.3518837204184525e-05,0.0031940460205078123,2.2822225423582805e-05,0.008055806159973145,4.454757204818413e-05
106.npy,2.2403564453125,27.59281215857525,0.9771630764007568,19.151445388793945,0.3066753149032593,0.1281583309173584,0.25601673126220703,0.0007181406021118164,3.232703614023928e-05,0.000858139991760254,0.0001550337247006166,0.0012109041213989257,2.851778233925769e-05,0.002380561828613281,0.00012489687830275398,0.006006860733032226,5.2774823590679196e-05,0.001184391975402832,1.2098445024083434e-05,0.001283574104309082,3.0332437710007007e-05,0.002532482147216797,4.053087795384905e-05,0.004870223999023438,4.5119328710574886e-05,0.012968182563781738,0.00011114603907777003
107.npy,1.27923583984375,28.596877821100307,0.9250228404998779,11.192127227783203,0.7116784453392029,0.0880279541015625,0.15465378761291504,0.00047643184661865233,4.552134990258558e-05,0.0004963397979736329,5.8079940333024795e-05,0.0009036779403686524,8.670219065493972e-05,0.0016654729843139648,7.649969505918119e-05,0.004008197784423828,7.451266829359346e-05,0.0007968664169311524,2.0468495372300523e-05,0.0007937192916870117,2.987308683894744e-05,0.0015261411666870118,2.714423532136227e-05,0.002993917465209961,3.2080050418354067e-05,0.007509446144104004,3.8469478662717665e-05
108.npy,1.76910400390625,28.211004789144045,0.9702762961387634,16.41497802734375,0.40585780143737793,0.11454272270202637,0.2082974910736084,0.000618147850036621,5.002179179701907e-05,0.0006103277206420899,5.749610727571581e-05,0.001123952865600586,2.540490646888179e-05,0.0021610498428344727,0.00011194601321292926,0.005438399314880371,8.255757907981867e-05,0.0009842157363891602,5.30281725842529e-06,0.0010366201400756835,2.8127421133342876e-05,0.002083754539489746,3.6378401821547095e-05,0.003967952728271484,4.315571227333363e-05,0.010414886474609374,5.535613228476057e-05
109.npy,2.06488037109375,27.927797798570992,0.9734561443328857,18.032024383544922,0.35705795884132385,0.12255716323852539,0.23988866806030273,0.0006404638290405274,2.891950535768648e-05,0.0006433010101318359,6.458237828676668e-05,0.0012183189392089844,0.00010552288878727319,0.0023126125335693358,5.247481893935897e-05,0.0058533668518066405,8.921174670655851e-05,0.0011034011840820312,5.869166195436082e-06,0.0012116432189941406,3.0520744457493257e-05,0.0023854255676269533,4.3823488076723565e-05,0.004576396942138672,3.082979943228331e-05,0.01212165355682373,7.762049599892214e-05
