Encoded_file,bpp,psnr,ssim,sqnr,mape_phase,enc_time,dec_time,enc1_m,enc1_s,enc2_m,enc2_s,enc3_m,enc3_s,enc4_m,enc4_s,enc5_m,enc5_s,dec1_m,dec1_s,dec2_m,dec2_s,dec3_m,dec3_s,dec4_m,dec4_s,dec5_m,dec5_s
0.npy,1.24609375,28.406141953932806,0.9759150147438049,15.821904182434082,0.4617152810096741,0.7590794563293457,0.4351985454559326,0.0005913496017456055,9.385973523543994e-06,0.0005817413330078125,4.436123488994838e-06,0.019329190254211426,7.191095243524392e-05,0.020376062393188475,4.377045650917325e-05,0.024542856216430663,0.00011151720592712634,0.0009409904479980469,1.0345718147047456e-05,0.0010200023651123046,5.38403843617945e-06,0.010824131965637206,5.4021046645223745e-05,0.011439776420593262,5.050406191250691e-05,0.013943290710449219,6.85327310986955e-05
1.npy,0.93719482421875,28.141474063462244,0.9366679191589355,11.95335865020752,0.6951699256896973,0.722062349319458,0.41906213760375977,0.0005855798721313476,1.9671902369326314e-05,0.0004706621170043945,3.821322529066733e-06,0.019402599334716795,0.0002891969051413535,0.020315837860107423,8.252037283066893e-05,0.024396181106567383,5.268565108083013e-05,0.000927591323852539,4.938430968236882e-06,0.0008149623870849609,3.566410436881095e-06,0.010767960548400879,1.7513771840486493e-05,0.01134817600250244,2.1576565271242925e-05,0.013791584968566894,1.795513524412679e-05
10.npy,1.166259765625,28.338096158269593,0.9609434604644775,14.911458969116211,0.4987078905105591,0.723160982131958,0.4218783378601074,0.0005498647689819336,9.18456324620979e-06,0.0005624771118164062,5.326721408010835e-06,0.019284701347351073,7.930021647118156e-05,0.02032470703125,4.522002923536639e-05,0.02454073429107666,4.69846806377223e-05,0.0008704185485839844,5.250408023262331e-06,0.0009779691696166991,7.050461074255215e-06,0.01079859733581543,8.303814835057111e-06,0.011391830444335938,1.1255175233484476e-05,0.013885068893432616,1.9383239862459583e-05
100.npy,0.58306884765625,29.22600865365622,0.9110308289527893,8.54692268371582,0.9633700847625732,0.7113544940948486,0.4094884395599365,0.0003902435302734375,3.71474203177687e-06,0.000361943244934082,4.607651083830371e-06,0.019216203689575197,4.2056280462326715e-05,0.0201138973236084,4.356199091901894e-05,0.02412145137786865,7.162564350468227e-05,0.0005959033966064453,4.878209596961642e-06,0.0006175518035888671,4.9091074402816e-06,0.010715675354003907,2.8169092060426957e-05,0.011292052268981934,3.1400197546232855e-05,0.013568925857543945,2.8165459541802437e-05
101.npy,1.14556884765625,28.427069361534627,0.953356146812439,14.42426586151123,0.6329777240753174,0.7248532772064209,0.4235348701477051,0.0006138801574707032,2.835754228072885e-05,0.0005147457122802734,4.949698327070879e-06,0.01939988136291504,0.00017646048252370022,0.020383715629577637,5.6699452118861156e-05,0.024541783332824706,7.02950849633474e-05,0.0010062456130981445,6.453396844172144e-06,0.0009612560272216797,5.751573353460411e-06,0.010798788070678711,3.0927806586874464e-05,0.01139380931854248,3.5123588466442915e-05,0.01390368938446045,2.567360738533979e-05
102.npy,0.69757080078125,28.823569038614014,0.9223043322563171,9.567806243896484,0.8610330820083618,0.7167842388153076,0.4152522087097168,0.0005067586898803711,1.1122296988294884e-05,0.00041513442993164064,6.647390471879752e-06,0.01924598217010498,7.390877892243623e-05,0.020223283767700197,4.734301444549088e-05,0.02431042194366455,0.00028738165060406684,0.0008136987686157227,0.00011006040250885329,0.0007023811340332031,1.0376550679592065e-05,0.010782790184020997,9.947936573140576e-05,0.011325812339782715,1.0454838195460468e-05,0.013680577278137207,1.7746175682202394e-05
103.npy,1.0594482421875,28.41098124083004,0.9369925260543823,13.424589157104492,0.6526346802711487,0.720893144607544,0.4222874641418457,0.0005906105041503906,4.50200948788535e-06,0.000523519515991211,6.045497877821572e-06,0.019253921508789063,8.287272051241411e-05,0.02023906707763672,9.663995289539324e-05,0.02441372871398926,6.73322265023733e-05,0.0009412288665771485,5.926800074173662e-06,0.0009527206420898438,9.005786474850537e-06,0.010810208320617676,2.040730732791596e-05,0.011391925811767577,2.244956228007445e-05,0.013862705230712891,2.868765051382795e-05
104.npy,1.448486328125,28.034519858078323,0.9790313243865967,17.69394874572754,0.3845442235469818,0.7279262542724609,0.4287729263305664,0.0006611108779907227,7.425083401478335e-06,0.0006158113479614258,7.1656187327249884e-06,0.019354581832885742,7.675567620491984e-05,0.020355224609375,6.592728545655578e-05,0.02471168041229248,7.792298655581777e-05,0.001092839241027832,6.011789595943154e-06,0.00113677978515625,6.0041732354691805e-06,0.010834956169128418,1.8348768818002237e-05,0.011454343795776367,1.8003365639355528e-05,0.014027023315429687,3.197266928428062e-05
105.npy,0.94085693359375,28.55251889765354,0.953772783279419,12.011146545410156,0.7158429622650146,0.7214746475219727,0.4207625389099121,0.0005304813385009766,6.95021851080343e-06,0.0004935264587402344,5.359912675804744e-06,0.01932399272918701,5.1497204422012594e-05,0.020339226722717284,3.392997950797893e-05,0.024434113502502443,5.84300122148106e-05,0.0008476495742797852,1.8529296218514857e-05,0.000850844383239746,6.187915269202454e-06,0.010789036750793457,1.9325807653342614e-05,0.011481046676635742,0.00030154957188366897,0.01383976936340332,3.079271711941984e-05
106.npy,1.6024169921875,27.455585804971538,0.9770059585571289,19.01946449279785,0.31200703978538513,0.7313926219940186,0.4318044185638428,0.0006907701492309571,5.588411469846913e-06,0.0006429672241210938,6.678103975039288e-06,0.01941537857055664,2.7785943994244043e-05,0.020453166961669923,7.903083581680271e-05,0.024802088737487793,6.25835146074505e-05,0.0011785507202148437,7.420756730657351e-06,0.0012308120727539062,5.368601968779591e-06,0.010857009887695312,1.93742640077556e-05,0.011477828025817871,9.619975471711894e-06,0.014077043533325196,4.4949737037903026e-05
