Encoded_file,bpp,psnr,ssim,sqnr,mape_phase,enc_time,dec_time,enc1_m,enc1_s,enc2_m,enc2_s,enc3_m,enc3_s,enc4_m,enc4_s,enc5_m,enc5_s,dec1_m,dec1_s,dec2_m,dec2_s,dec3_m,dec3_s,dec4_m,dec4_s,dec5_m,dec5_s
0.npy,1.21258544921875,28.391754114895697,0.9752592444419861,15.805842399597168,0.4613898694515228,0.9683952331542969,0.5417129993438721,0.018693923950195312,0.00013621769633395027,0.0006824731826782227,9.5201885066744e-06,0.019377946853637695,0.00011483660480017692,0.02035837173461914,2.0173875101795856e-05,0.024574875831604004,2.3909294600354583e-05,0.010323452949523925,5.2171634711606914e-05,0.001115560531616211,8.02943370804744e-06,0.010798048973083497,4.487631132219104e-05,0.011408019065856933,2.9463375976097924e-05,0.0139207124710083,3.8650299042778744e-05
1.npy,0.9017333984375,28.155828590129744,0.9396297335624695,11.947818756103516,0.6850882768630981,0.9183533191680908,0.5235922336578369,0.01852836608886719,4.982471443247094e-05,0.0005789995193481445,1.593128573635875e-06,0.019260573387145995,5.833065851249926e-05,0.020338058471679688,7.725078376129517e-05,0.024317049980163576,4.3913757534064534e-05,0.010288643836975097,6.794586925905548e-05,0.0009428739547729492,2.5593332191237846e-05,0.010730481147766114,1.9623297479133905e-05,0.011339688301086425,2.5033144710823232e-05,0.013865375518798828,0.0002497933697508155
10.npy,1.13409423828125,28.329286436948763,0.9606854915618896,14.887490272521973,0.5003480315208435,0.9230151176452637,0.526343584060669,0.0185929536819458,3.903302445234266e-05,0.0006742477416992188,8.106231689453125e-06,0.01929314136505127,4.196817851524702e-05,0.0203446626663208,3.595492090846854e-05,0.02451667785644531,5.99517443308003e-05,0.010279417037963867,1.9187289714649885e-05,0.0010825872421264648,2.2442788023684493e-05,0.010768985748291016,2.1854597145058696e-05,0.011365246772766114,2.2749193196914235e-05,0.01392972469329834,0.00020290710490054843
100.npy,0.5526123046875,29.161655695676814,0.9079827070236206,8.471685409545898,0.9533601999282837,0.9144318103790283,0.5160567760467529,0.018633341789245604,0.0001852378708450294,0.00047941207885742186,2.164830195195603e-05,0.01925959587097168,6.919441163102518e-05,0.020176076889038087,3.7769476363643434e-05,0.024121809005737304,2.81472899168182e-05,0.010283184051513673,9.333256371485662e-05,0.0007091522216796875,1.2856576803341237e-05,0.010709190368652343,5.3012112378174874e-05,0.011240744590759277,2.7309586388831357e-05,0.013534140586853028,2.3202439953184427e-05
101.npy,1.1083984375,28.40498900299341,0.9530205726623535,14.397282600402832,0.6446504592895508,0.9225292205810547,0.5253913402557373,0.018574070930480958,6.660666266658239e-05,0.0006174564361572266,6.295153524180401e-06,0.01927649974822998,2.0180763140701297e-05,0.020315670967102052,3.5680748302823505e-05,0.024619555473327635,0.00042443066858328254,0.010282254219055176,1.370956585851912e-05,0.0010724067687988281,8.541909180606708e-06,0.010746932029724121,1.3385223325488154e-05,0.011358642578125,1.6285297933220023e-05,0.013863301277160645,1.3199197931401055e-05
102.npy,0.66485595703125,28.77282768872783,0.9237446188926697,9.507620811462402,0.8582987785339355,0.9162857532501221,0.518939733505249,0.018543243408203125,2.838583207080521e-05,0.0005204200744628907,7.1492187337417605e-06,0.01925339698791504,3.0406586153460188e-05,0.020195531845092773,2.486850929961554e-05,0.024337267875671385,0.00023384204234359256,0.010259509086608887,7.509021441794999e-05,0.0008031368255615234,1.0936216302720721e-05,0.010707783699035644,2.5310139502340764e-05,0.011290383338928223,2.097868095524856e-05,0.013691186904907227,0.00017261801501095532
103.npy,1.0228271484375,28.406410973159964,0.9361048936843872,13.425222396850586,0.6491458415985107,0.9208528995513916,0.5252010822296143,0.0185896635055542,3.102906747575219e-05,0.0006311178207397461,1.8048286437988282e-05,0.019336867332458495,0.000246346533052741,0.020294380187988282,3.531940910059218e-05,0.02440981864929199,5.518396691878279e-05,0.01030745506286621,7.868558674946309e-05,0.001066112518310547,9.965896606445314e-06,0.01074371337890625,2.0026933577930587e-05,0.011348509788513183,1.824749643723123e-05,0.01382896900177002,1.9889726119974724e-05
104.npy,1.4144287109375,27.99659338471022,0.979161262512207,17.665563583374023,0.38825350999832153,0.9270250797271729,0.5296735763549805,0.018602466583251952,2.270971695942275e-05,0.0007331132888793946,2.8443536334043162e-05,0.01929945945739746,2.990586413958685e-05,0.020437288284301757,0.00015501560186830288,0.024724936485290526,2.9856908399341368e-05,0.0102874755859375,1.5486126385800765e-05,0.001257467269897461,1.6699106877632633e-05,0.010778379440307618,1.704944578670068e-05,0.011409759521484375,1.2107814717859862e-05,0.013990187644958496,1.4085050505124839e-05
105.npy,0.9075927734375,28.511091676226176,0.9539884328842163,11.981134414672852,0.7099812030792236,0.9206380844116211,0.5232818126678467,0.018534374237060548,7.371382738177768e-05,0.0006013393402099609,1.1959870629926683e-05,0.019273757934570312,2.135863229997484e-05,0.020331335067749024,0.00011823777094923737,0.02446322441101074,0.00010987003830488658,0.010263371467590331,2.0867020045798346e-05,0.0009480714797973633,9.64711809453258e-06,0.010785675048828125,0.0001017041904761998,0.011334514617919922,1.2151958988301494e-05,0.013805317878723144,1.9264176930480572e-05
106.npy,1.56707763671875,27.502701748034994,0.976934552192688,19.058666229248047,0.3130565881729126,0.9281251430511475,0.5331175327301025,0.018593215942382814,3.671757584898658e-05,0.0007500886917114258,7.460977928944749e-06,0.019329428672790527,2.5185681512293837e-05,0.02040121555328369,3.0015459851823293e-05,0.0248079776763916,0.0001323297773437256,0.010293817520141602,1.6327826193157008e-05,0.0013527870178222656,1.720120239559659e-05,0.010794472694396973,2.790130029974815e-05,0.011521244049072265,0.00018546511235210944,0.014081239700317383,6.797823373370552e-05
107.npy,0.8089599609375,28.41613170709362,0.9231176376342773,11.013636589050293,0.7254945039749146,0.9185972213745117,0.5220391750335693,0.01855015754699707,2.8107315845012346e-05,0.0005818605422973633,5.9502036467212e-06,0.019255852699279784,2.78085302519551e-05,0.02026848793029785,2.3601223620059945e-05,0.02435619831085205,2.838884571522281e-05,0.010294818878173828,3.9694538287064936e-05,0.0008849620819091797,7.841615700024305e-06,0.01073758602142334,2.4581418000688605e-05,0.011320734024047851,1.821249547627511e-05,0.013770055770874024,3.8106837616958186e-05
108.npy,1.27447509765625,28.152429116906625,0.9690540432929993,16.372066497802734,0.40193575620651245,0.9254353046417236,0.5280146598815918,0.018625473976135253,2.5649994434433343e-05,0.0007008790969848632,7.035610675568982e-06,0.019291377067565917,5.395875987572202e-05,0.020418930053710937,0.0001336824177415598,0.024623513221740723,2.1695632196129937e-05,0.010287117958068848,1.8795506057841013e-05,0.001135706901550293,1.3888265948254187e-05,0.01078202724456787,1.9681724469074345e-05,0.01141374111175537,1.7261258144613907e-05,0.013958239555358886,1.9864560426942614e-05
109.npy,1.4515380859375,27.92230042096246,0.9733219146728516,18.021615982055664,0.36075153946876526,0.9303836822509766,0.5320467948913574,0.018638348579406737,3.0914616562630415e-05,0.0007458925247192383,1.1867043779168796e-05,0.019352483749389648,3.509774147143682e-05,0.020560550689697265,0.00019786087110813095,0.024832868576049806,4.34839410289183e-05,0.010308241844177246,9.593467102322582e-06,0.0012959003448486327,1.237445253189001e-05,0.010802841186523438,1.3841096921178235e-05,0.011458873748779297,6.426723053374579e-05,0.014051294326782227,3.790948374825849e-05
11.npy,0.8309326171875,28.472554130706257,0.9451915621757507,11.281941413879395,0.7322733402252197,0.9214987754821777,0.522233247756958,0.01867022514343262,3.5523760233546e-05,0.0005962371826171875,6.789531571423825e-06,0.019345831871032716,3.36384958291089e-05,0.02030360698699951,1.2818962415646863e-05,0.0243635892868042,2.3681110648518494e-05,0.010269951820373536,1.3067013048446984e-05,0.0009066343307495117,1.7756998982234883e-05,0.010738730430603027,1.7564266139304547e-05,0.01132063865661621,1.8063193253804367e-05,0.013807153701782227,0.0001985954120768298
