Encoded_file,bpp,psnr,ssim,sqnr,mape_phase,enc_time,dec_time,enc1_m,enc1_s,enc2_m,enc2_s,enc3_m,enc3_s,enc4_m,enc4_s,enc5_m,enc5_s,dec1_m,dec1_s,dec2_m,dec2_s,dec3_m,dec3_s,dec4_m,dec4_s,dec5_m,dec5_s
0.npy,1.18994140625,28.364201480983567,0.9752732515335083,15.774785995483398,0.4620148837566376,1.1789774894714355,0.648331880569458,0.018729853630065917,9.06208319604483e-05,0.018833112716674805,4.8321017546791575e-05,0.019385337829589844,5.4499796302830615e-05,0.020500850677490235,0.00013991042540497292,0.024744725227355956,0.0001269648420196372,0.01044614315032959,0.0003490888010559504,0.010518741607666016,9.572633918201395e-05,0.010805892944335937,8.119255710781068e-05,0.011471319198608398,0.00010900083377146202,0.014071846008300781,0.00015630327101041707
1.npy,0.87939453125,28.13816450889285,0.9387286305427551,11.932706832885742,0.6916202306747437,1.1240248680114746,0.6296448707580566,0.01861395835876465,3.093129847366234e-05,0.018757843971252443,2.1953535639184508e-05,0.019388341903686525,0.00010980821593798444,0.02037220001220703,3.6137808020672666e-05,0.02454421520233154,0.00021979698636455112,0.01035773754119873,7.325553912045257e-05,0.010476183891296387,3.665386939864819e-05,0.010742640495300293,1.4045444696493081e-05,0.011388731002807618,1.995601961319107e-05,0.013831686973571778,5.702093724110071e-05
10.npy,1.11279296875,28.334164126969107,0.9600273966789246,14.897768020629883,0.5008023977279663,1.1285550594329834,0.6297838687896729,0.01874067783355713,0.00025967332918713597,0.018816637992858886,3.7990046125614694e-05,0.019428944587707518,8.345184649659291e-05,0.020482945442199706,6.43629534238219e-05,0.024678301811218262,7.403970262782371e-05,0.010304641723632813,1.079054148121051e-05,0.01045231819152832,2.772364207761626e-05,0.010762739181518554,2.9595765510849832e-05,0.011383914947509765,2.7647962550780416e-05,0.01389172077178955,3.1235463635919257e-05
100.npy,0.52947998046875,29.136671154650166,0.9072262644767761,8.44801139831543,0.958006739616394,1.1206955909729004,0.6246044635772705,0.01863131523132324,2.303478853280578e-05,0.01886112689971924,0.0002413529788176807,0.019329214096069337,6.239539481521012e-05,0.020227384567260743,2.216569721088767e-05,0.024357128143310546,0.0003823249409513181,0.010305356979370118,3.848770083708023e-05,0.010443592071533203,3.5777756419031056e-05,0.010719370841979981,3.7130898007613154e-05,0.011264395713806153,1.867048875247265e-05,0.013606691360473632,1.6502355129347857e-05
101.npy,1.078125,28.39118439480601,0.9528520703315735,14.37533950805664,0.6421307325363159,1.1294364929199219,0.6308763027191162,0.018747544288635253,0.0003196115271189598,0.01884334087371826,0.0001367842545970944,0.019394326210021972,7.084394950331141e-05,0.02060103416442871,0.000456057974275092,0.02464287281036377,2.905774788576415e-05,0.010332679748535157,3.214978843243561e-05,0.010448813438415527,2.055667331992679e-05,0.010768961906433106,1.5147762640328316e-05,0.011413216590881348,1.0408411494357387e-05,0.01393280029296875,3.382977332216322e-05
102.npy,0.6414794921875,28.795474898790133,0.9247247576713562,9.528395652770996,0.8623983860015869,1.1218597888946533,0.6305859088897705,0.018629860877990723,2.2724942877477807e-05,0.01880800724029541,5.877559590481727e-05,0.019324564933776857,4.2865306770534136e-05,0.02030646800994873,1.8101372245451797e-05,0.024387693405151366,0.00019520408724686702,0.010396599769592285,4.488545573851915e-05,0.010516476631164551,1.7294158005298092e-05,0.010811829566955566,4.518500079874576e-05,0.011393189430236816,2.510792157907691e-05,0.013766908645629882,2.5063724069884664e-05
103.npy,0.9931640625,28.366786022371045,0.9359412789344788,13.383450508117676,0.6461668610572815,1.1274127960205078,0.6312830448150635,0.018688058853149413,3.5859802898088065e-05,0.018871331214904787,5.786291206688967e-05,0.01936981678009033,3.020801032117178e-05,0.020488572120666505,0.00016744502089518037,0.02460036277770996,7.841290940689406e-05,0.010339999198913574,1.739261491890663e-05,0.010479545593261719,1.0146776531364524e-05,0.010788464546203613,3.398521995010012e-05,0.011424851417541505,6.854615418325545e-05,0.013915157318115235,4.998509052736108e-05
104.npy,1.38818359375,28.029164234942435,0.9796128869056702,17.687650680541992,0.39270055294036865,1.131828784942627,0.6330492496490479,0.018709826469421386,4.5835443215862595e-05,0.018839716911315918,2.2185806410556266e-05,0.019475388526916503,0.00015157970199782973,0.020573639869689943,0.0001110997040901386,0.024807190895080565,3.82730442204354e-05,0.010342931747436524,1.8320168013926872e-05,0.010473847389221191,8.77448395496974e-06,0.01079702377319336,8.04358000814138e-06,0.01145946979522705,1.2209848175767713e-05,0.014045047760009765,8.035661148226913e-06
105.npy,0.88482666015625,28.513299476253394,0.9533036351203918,11.988633155822754,0.712874174118042,1.124793291091919,0.6304409503936768,0.018648266792297363,2.365377866925503e-05,0.018842363357543947,0.00010513892783697698,0.01934843063354492,1.6418300374428815e-05,0.020408439636230468,3.215095534448809e-05,0.024521398544311523,2.5321983723573714e-05,0.010321640968322754,1.3014007763236845e-05,0.010514020919799805,0.0002041358475398765,0.01077256202697754,5.6812921249119895e-05,0.011416864395141602,7.313761845968406e-05,0.013871073722839355,6.683866180010076e-05
106.npy,1.537353515625,27.458746724759525,0.976863443851471,19.021907806396484,0.3101409375667572,1.132385015487671,0.6335957050323486,0.01879606246948242,0.0002914242518491542,0.018853187561035156,7.701318689194038e-05,0.019426536560058594,2.2022134485555376e-05,0.02051098346710205,2.1592629729014203e-05,0.024862098693847656,2.63056414121986e-05,0.010337734222412109,1.3902154432443259e-05,0.010479927062988281,1.8500114187780707e-05,0.010794973373413086,1.2564546016350547e-05,0.011448264122009277,1.9412968359690076e-05,0.014075994491577148,1.5922720144591374e-05
